"","country","code","Gender","Age","Household.Income","mean_rating"
"120","Australia","AUS","Female","45-60",NA,3.31578947368421
"121","Australia","AUS","Male","> 60","$0 - $24,999",3.25
"122","Australia","AUS","Male","> 60","$100,000 - $149,999",3.77777777777778
"123","Australia","AUS","Male","> 60","$150,000+",3.2
"124","Australia","AUS","Male","> 60","$25,000 - $49,999",3
"125","Australia","AUS","Male","> 60","$50,000 - $99,999",3.42105263157895
"126","Australia","AUS","Male","> 60",NA,3.45454545454545
"127","Australia","AUS","Male","18-29","$0 - $24,999",3.44444444444444
"128","Australia","AUS","Male","18-29","$100,000 - $149,999",3.83333333333333
"129","Australia","AUS","Male","18-29","$150,000+",3.16666666666667
"130","Australia","AUS","Male","18-29","$25,000 - $49,999",2.88888888888889
"131","Australia","AUS","Male","18-29","$50,000 - $99,999",3.5
"132","Australia","AUS","Male","18-29",NA,3.875
"133","Australia","AUS","Male","30-44","$0 - $24,999",3
"134","Australia","AUS","Male","30-44","$100,000 - $149,999",3.22222222222222
"135","Australia","AUS","Male","30-44","$150,000+",3.42857142857143
"136","Australia","AUS","Male","30-44","$25,000 - $49,999",3.38461538461538
"137","Australia","AUS","Male","30-44","$50,000 - $99,999",3.15789473684211
"138","Australia","AUS","Male","30-44",NA,3.25
"139","Australia","AUS","Male","45-60","$0 - $24,999",3.75
"140","Australia","AUS","Male","45-60","$100,000 - $149,999",3.4
"141","Australia","AUS","Male","45-60","$150,000+",3.29411764705882
"142","Australia","AUS","Male","45-60","$25,000 - $49,999",3.73333333333333
"143","Australia","AUS","Male","45-60","$50,000 - $99,999",3.35294117647059
"144","Australia","AUS","Male","45-60",NA,3.33333333333333
"145","Belgium","BEL","Female","> 60","$0 - $24,999",3.25
"146","Belgium","BEL","Female","> 60","$100,000 - $149,999",3.5
"147","Belgium","BEL","Female","> 60","$150,000+",3.42857142857143
"148","Belgium","BEL","Female","> 60","$25,000 - $49,999",3.5
"149","Belgium","BEL","Female","> 60","$50,000 - $99,999",3.57894736842105
"150","Belgium","BEL","Female","> 60",NA,3.78947368421053
"151","Belgium","BEL","Female","18-29","$0 - $24,999",3.7
"152","Belgium","BEL","Female","18-29","$100,000 - $149,999",4.5
"153","Belgium","BEL","Female","18-29","$150,000+",5
"154","Belgium","BEL","Female","18-29","$25,000 - $49,999",3.46153846153846
"155","Belgium","BEL","Female","18-29","$50,000 - $99,999",3.88888888888889
"156","Belgium","BEL","Female","18-29",NA,3.2
"157","Belgium","BEL","Female","30-44","$0 - $24,999",4.125
"158","Belgium","BEL","Female","30-44","$100,000 - $149,999",3.42857142857143
"159","Belgium","BEL","Female","30-44","$150,000+",3.28571428571429
"160","Belgium","BEL","Female","30-44","$25,000 - $49,999",3.15384615384615
"161","Belgium","BEL","Female","30-44","$50,000 - $99,999",3.46153846153846
"162","Belgium","BEL","Female","30-44",NA,3.8
"163","Belgium","BEL","Female","45-60","$0 - $24,999",4
"164","Belgium","BEL","Female","45-60","$100,000 - $149,999",3.44444444444444
"165","Belgium","BEL","Female","45-60","$150,000+",4.11111111111111
"166","Belgium","BEL","Female","45-60","$25,000 - $49,999",3.25
"167","Belgium","BEL","Female","45-60","$50,000 - $99,999",3.69230769230769
"168","Belgium","BEL","Female","45-60",NA,3.55555555555556
"169","Belgium","BEL","Male","> 60","$0 - $24,999",3
